源文本	hel模型	liam模型
Sixty-ninth session	第六十九届会议	第六十九届会议
The Organization was to be "based on the principle of the sovereign equality of all its Members" and on other principles, such as the peaceful settlement of international disputes, the non-threat or use of force and non-intervention in the internal affairs of States.	本组织应“基于所有会员国主权平等的原则”和其他原则,如和平解决国际争端、不威胁或使用武力以及不干涉他国内政的原则。	本组织应“基于所有会员国主权平等的原则”和其他原则,如和平解决国际争端、不威胁使用或使用武力以及不干涉他国内政。
No reform of the United Nations can redefine the principles of the Charter or undermine their implementation.	联合国的任何改革都不能重新界定《宪章》的原则或破坏其执行。	任何联合国改革都不能重新界定《宪章》的原则,也不能破坏这些原则的执行。
The Commission agreed that it would organize five interactive discussions at its fifty-eighth session, on the following topics:	委员会商定,将在第五十八届会议上就下列专题组织五次互动式讨论:	委员会同意在其第五十八届会议上就下列专题组织五次交互式讨论:
We would like to highlight the major challenge of setting up specific agencies and gathering further statistics and carrying out more investigations to tackle all forms of violence against indigenous women, combining a rights-based approach with gender and intercultural perspectives and including specific questions on ethnic self-identification in all sources of data on violence.	我们要强调,在建立具体机构、收集进一步统计数据和开展更多调查以应对一切形式的暴力侵害土著妇女行为方面,我们面临重大挑战,需要将基于权利的办法与性别和文化间观点相结合,并在关于暴力的所有数据来源中列入族裔自我认同的具体问题。	我们谨强调一项重大挑战,即建立具体机构,收集进一步的统计数据,并开展更多的调查,处理一切形式的暴力侵害土著妇女行为,将基于权利的方法与性别和文化间观点相结合,并在有关暴力的所有数据来源中列入族裔自我认同的具体问题。
In Guatemala, maternal mortality among Mayan women is 211 per 100,000 live births, while among non-indigenous women it is 70 per 100,000 live births.	在危地马拉,玛雅妇女产妇死亡率为每10万活产211例,非土著妇女为每10万活产70例。	在危地马拉,玛雅妇女产妇死亡率为每10万活产211例,非土著妇女为每10万活产70例。
51. The working group of the Committee on transparency and media outreach continued to consider ways to improve outreach, for example, through a systematic effort to maintain an up-to-date and expanded contact list.	51. 委员会透明度和媒体外联工作组继续审议如何改进外联工作,例如有系统地努力保持最新的扩大联系名单。	51. 透明度和媒体外联问题委员会工作组继续审议如何改进外联工作,例如有系统地努力保持最新的扩大联系名单。
Other matters	其他事项	其他事项
The version of the draft programme developed by the expert working group at its second meeting was transmitted to its third meeting for further development.	专家工作组第二次会议拟订的方案草案的版本已转交其第三次会议,供进一步拟订。	专家工作组第二次会议拟订的方案草案版本已转交第三次会议,供进一步发展。
The documents and meeting report from the first meeting of the expert working group are available on the Basel Convention website.	专家工作组第一次会议的文件和会议报告可在《巴塞尔公约》网站上查阅。	专家工作组第一次会议的文件和会议报告可在《巴塞尔公约》网站上查阅。
